Reported by,Metric Category,Metric,Sub-Group,Unit of Measure,Comments,Date,Value
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2022-08-01,2.242617
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2022-08-01,3.408912
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2022-09-01,1406.6659649265841
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2022-09-01,588.1380379999999
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2022-09-01,645.944875
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2022-09-01,144.49641599999998
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2022-09-01,23.004774926584265
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2022-09-01,1.9330509999999999
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2022-09-01,3.1488099999999997
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2022-10-01,1038.4400508863027
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2022-10-01,398.066415
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2022-10-01,497.411704
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2022-10-01,116.066762
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2022-10-01,22.94789588630275
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2022-10-01,0.987655
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2022-10-01,2.959619
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2022-11-01,1333.021202767608
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2022-11-01,560.529361
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2022-11-01,592.689365
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2022-11-01,149.590817
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2022-11-01,25.02787476760799
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2022-11-01,1.8374599999999999
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2022-11-01,3.3463249999999998
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2022-12-01,1285.6249679999999
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2022-12-01,505.586865
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2022-12-01,606.355339
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2022-12-01,143.53988999999999
LUMA,Overall System,Monthly system sales by customer class,Public Lighting,GWh,,2022-12-01,25.284972
LUMA,Overall System,Monthly system sales by customer class,Agriculture,GWh,,2022-12-01,1.6907429999999999
LUMA,Overall System,Monthly system sales by customer class,Others,GWh,,2022-12-01,3.167159
LUMA,Overall System,Monthly system sales by customer class,Total,GWh,,2023-01-01,1155.3623257741529
LUMA,Overall System,Monthly system sales by customer class,Residential,GWh,,2023-01-01,444.64424599999995
LUMA,Overall System,Monthly system sales by customer class,Commercial,GWh,,2023-01-01,554.091151
LUMA,Overall System,Monthly system sales by customer class,Industrial,GWh,,2023-01-01,125.879353
